,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D
0,Intel,22000.0,20%,4/23/2025,INTC,-0.08,-0.39
1,Intel,15000.0,15%,8/1/2024,INTC,-9.16,-31.74
2,Tesla,14000.0,10%,4/15/2024,TSLA,-14.43,-8.94
3,Google,12000.0,6%,1/20/2023,GOOG,-2.53,-2.57
4,Meta,11000.0,13%,11/9/2022,META,12.68,12.57
5,Microsoft,10000.0,5%,1/17/2023,MSFT,2.18,0.93
6,Amazon,10000.0,3%,11/16/2022,AMZN,-4.66,-4.8
9,Microsoft,9000.0,4%,7/2/2025,MSFT,6.62,1.35
10,Ericsson,8500.0,8%,2/23/2023,ERIC,-0.08,-1.61
11,SAP,8000.0,7%,1/24/2024,SAP,1.69,0.99
12,Salesforce,8000.0,10%,1/4/2023,CRM,7.44,5.38
13,Amazon,8000.0,2%,1/4/2023,AMZN,2.22,2.61
14,Dell,6650.0,5%,2/6/2023,DELL,1.67,4.3
15,Dell,6000.0,5%,3/27/2024,DELL,7.76,7.13
16,Microsoft,6000.0,3%,5/13/2025,MSFT,10.54,2.35
18,Cisco,5600.0,7%,8/9/2024,CSCO,-0.03,-0.07
20,Micron,4800.0,10%,3/31/2023,MU,-3.28,-5.5
21,Cisco,4250.0,5%,2/14/2024,CSCO,-1.91,-3.98
22,Cisco,4100.0,5%,11/17/2022,CSCO,1.65,3.84
24,IBM,3900.0,2%,1/25/2023,IBM,-4.92,-3.88
26,Uber,3700.0,14%,5/6/2020,UBER,3.82,13.73
27,Meta,3600.0,5%,1/16/2025,META,5.15,0.84
28,Seagate,3000.0,8%,3/31/2023,STX,-1.17,-1.91
29,SAP,3000.0,3%,1/26/2023,SAP,4.26,3.88
30,Xerox,3000.0,15%,2/29/2024,XRX,0.12,0.75
31,Uber,3000.0,13%,5/18/2020,UBER,1.21,3.6
32,Peloton,2800.0,20%,2/8/2022,PTON,-4.44,-11.91
33,Groupon,2800.0,44%,4/13/2020,GRPN,1.2,6.9
34,PayPal,2500.0,9%,1/30/2024,PYPL,-2.14,-3.36
35,Carvana,2500.0,12%,5/10/2022,CVNA,1.72,4.69
36,Hewlett Packard Enterprise,2500.0,5%,3/7/2025,HPE,-0.71,-4.55
37,Micron,2400.0,5%,3/31/2023,MU,-3.28,-5.5
38,Shopify,2300.0,20%,5/4/2023,SHOP,6.59,11.5
39,Zillow,2000.0,25%,11/2/2021,Z,-19.53,-22.4
41,Amdocs,2000.0,6%,1/5/2023,DOX,-1.25,-1.45
42,PayPal,2000.0,7%,1/31/2023,PYPL,0.84,1.03
44,Intuit,1800.0,10%,7/10/2024,ISRG,-7.49,-1.68
45,Unity,1800.0,25%,1/8/2024,U,-4.39,-11.26
46,Wayfair,1750.0,10%,1/20/2023,W,9.4,20.09
47,Workday,1750.0,8%,2/5/2025,WDAY,-6.29,-2.28
48,Wayfair,1650.0,13%,1/19/2024,W,-1.36,-2.42
49,Twilio,1500.0,17%,2/13/2023,TWLO,9.35,15.25
50,Expedia,1500.0,8%,2/26/2024,EXPE,1.88,1.4
51,Spotify,1500.0,17%,12/4/2023,SPOT,3.88,2.0
52,Carvana,1500.0,8%,11/18/2022,CVNA,0.06,0.74
54,Stitch Fix,1400.0,18%,6/1/2020,SFIX,1.34,5.67
55,Autodesk,1350.0,9%,2/27/2025,ADSK,-14.92,-5.28
56,Zoom,1300.0,15%,2/7/2023,ZM,-8.18,-9.66
57,Stone,1300.0,20%,5/13/2020,STNE,3.25,15.37
58,Lam Research,1300.0,7%,2/1/2023,LRCX,-0.91,-1.76
59,Snap,1280.0,20%,8/30/2022,SNAP,1.21,12.09
60,Qualcomm,1258.0,2%,10/13/2023,QCOM,2.22,2.14
61,DoorDash,1250.0,6%,11/30/2022,DASH,-5.02,-8.62
63,Coinbase,1100.0,18%,6/14/2022,COIN,-0.36,-0.7
64,Sabre,1100.0,15%,5/5/2023,SABR,-0.12,-3.27
