,Company,# Laid Off,%,Stage,Date Added,Ticker
97,Intel,22000.0,20%,Post-IPO,4/23/2025,INTC
408,Intel,15000.0,15%,Post-IPO,8/1/2024,INTC
574,Tesla,14000.0,10%,Post-IPO,4/15/2024,TSLA
2042,Google,12000.0,6%,Post-IPO,1/20/2023,GOOG
2526,Meta,11000.0,13%,Post-IPO,11/9/2022,META
2075,Microsoft,10000.0,5%,Post-IPO,1/17/2023,MSFT
2458,Amazon,10000.0,3%,Post-IPO,11/16/2022,AMZN
1717,Meta,10000.0,,Post-IPO,3/14/2023,META
1700,Amazon,9000.0,,Post-IPO,3/20/2023,AMZN
43,Microsoft,9000.0,4%,Post-IPO,7/2/2025,MSFT
1787,Ericsson,8500.0,8%,Post-IPO,2/23/2023,ERIC
759,SAP,8000.0,7%,Post-IPO,1/24/2024,SAP
2218,Salesforce,8000.0,10%,Post-IPO,1/4/2023,CRM
2217,Amazon,8000.0,2%,Post-IPO,1/4/2023,AMZN
1903,Dell,6650.0,5%,Post-IPO,2/6/2023,DELL
609,Dell,6000.0,5%,Post-IPO,3/27/2024,DELL
77,Microsoft,6000.0,3%,Post-IPO,5/13/2025,MSFT
1969,Philips,6000.0,13%,Post-IPO,1/30/2023,PHIA.AS
393,Cisco,5600.0,7%,Post-IPO,8/9/2024,CSCO
38,Intel,5000.0,,Post-IPO,7/16/2025,INTC
2230,Micron,4800.0,10%,Post-IPO,3/31/2023,MU
678,Cisco,4250.0,5%,Post-IPO,2/14/2024,CSCO
2459,Cisco,4100.0,5%,Post-IPO,11/17/2022,CSCO
2628,Philips,4000.0,5%,Post-IPO,1/20/2023,PHIA.AS
2006,IBM,3900.0,2%,Post-IPO,1/25/2023,IBM
2558,Twitter,3700.0,50%,Post-IPO,11/4/2022,EBT-USD
3714,Uber,3700.0,14%,Post-IPO,5/6/2020,UBER
163,Meta,3600.0,5%,Post-IPO,1/16/2025,META
2616,Seagate,3000.0,8%,Post-IPO,3/31/2023,STX
1999,SAP,3000.0,3%,Post-IPO,1/26/2023,SAP
841,Xerox,3000.0,15%,Post-IPO,2/29/2024,XRX
3668,Uber,3000.0,13%,Post-IPO,5/18/2020,UBER
3454,Peloton,2800.0,20%,Post-IPO,2/8/2022,PTON
3869,Groupon,2800.0,44%,Post-IPO,4/13/2020,GRPN
730,PayPal,2500.0,9%,Post-IPO,1/30/2024,PYPL
3377,Carvana,2500.0,12%,Post-IPO,5/10/2022,CVNA
129,Hewlett Packard Enterprise,2500.0,5%,Post-IPO,3/7/2025,HPE
1824,Micron,2400.0,5%,Post-IPO,3/31/2023,MU
1528,Shopify,2300.0,20%,Post-IPO,5/4/2023,SHOP
3466,Zillow,2000.0,25%,Post-IPO,11/2/2021,Z
135,HP,2000.0,,Post-IPO,2/28/2025,HP
1321,Amdocs,2000.0,6%,Post-IPO,1/5/2023,DOX
1955,PayPal,2000.0,7%,Post-IPO,1/31/2023,PYPL
745,Microsoft,1900.0,,Post-IPO,1/25/2024,MSFT
436,Intuit,1800.0,10%,Post-IPO,7/10/2024,ISRG
824,Unity,1800.0,25%,Post-IPO,1/8/2024,U
2043,Wayfair,1750.0,10%,Post-IPO,1/20/2023,W
169,Workday,1750.0,8%,Post-IPO,2/5/2025,WDAY
775,Wayfair,1650.0,13%,Post-IPO,1/19/2024,W
1855,Twilio,1500.0,17%,Post-IPO,2/13/2023,TWLO
654,Expedia,1500.0,8%,Post-IPO,2/26/2024,EXPE
899,Spotify,1500.0,17%,Post-IPO,12/4/2023,SPOT
2436,Carvana,1500.0,8%,Post-IPO,11/18/2022,CVNA
404,Infineon,1400.0,,Post-IPO,8/5/2024,IFX.DE
3637,Stitch Fix,1400.0,18%,Post-IPO,6/1/2020,SFIX
137,Autodesk,1350.0,9%,Post-IPO,2/27/2025,ADSK
1896,Zoom,1300.0,15%,Post-IPO,2/7/2023,ZM
3697,Stone,1300.0,20%,Post-IPO,5/13/2020,STNE
2007,Lam Research,1300.0,7%,Post-IPO,2/1/2023,LRCX
2804,Snap,1280.0,20%,Post-IPO,8/30/2022,SNAP
1021,Qualcomm,1258.0,2%,Post-IPO,10/13/2023,QCOM
2370,DoorDash,1250.0,6%,Post-IPO,11/30/2022,DASH
2057,Capital One,1100.0,,Post-IPO,1/20/2023,COF
3233,Coinbase,1100.0,18%,Post-IPO,6/14/2022,COIN
1529,Sabre,1100.0,15%,Post-IPO,5/5/2023,SABR
1578,Lyft,1072.0,26%,Post-IPO,4/21/2023,LYFT
256,AMD,1000.0,4%,Post-IPO,11/13/2024,AMD
3883,Yelp,1000.0,17%,Post-IPO,4/9/2020,YELP
2990,Shopify,1000.0,10%,Post-IPO,7/26/2022,SHOP
218,Lilium,1000.0,100%,Post-IPO,12/27/2024,LILMF
494,Microsoft,1000.0,,Post-IPO,6/3/2024,MSFT
805,Google,1000.0,,Post-IPO,1/11/2024,GOOG
1377,Grab,1000.0,11%,Post-IPO,6/20/2023,GRAB
2549,Salesforce,1000.0,1%,Post-IPO,11/8/2022,CRM
731,Block,1000.0,10%,Post-IPO,1/30/2024,BLK=F
846,Ocado,1000.0,,Post-IPO,7/26/2024,0OC1.F
132,Ola Electric,1000.0,,Post-IPO,3/4/2025,OLAELEC.BO
3546,Salesforce,1000.0,2%,Post-IPO,8/26/2020,CRM
1271,Microsoft,1000.0,,Post-IPO,7/10/2023,MSFT
365,IBM,1000.0,,Post-IPO,8/28/2024,IBM
181,Salesforce,1000.0,1%,Post-IPO,2/3/2025,CRM
760,eBay,1000.0,9%,Post-IPO,1/23/2024,EBAY
3756,Lyft,982.0,17%,Post-IPO,4/29/2020,LYFT
1956,NetApp,960.0,8%,Post-IPO,1/31/2023,NTAP
2166,Coinbase,950.0,20%,Post-IPO,1/10/2023,COIN
117,Block,931.0,8%,Post-IPO,3/25/2025,BLK=F
3763,TripAdvisor,900.0,25%,Post-IPO,4/28/2020,TRIP
774,SolarEdge,900.0,16%,Post-IPO,1/21/2024,SEDG
2431,Jumia,900.0,20%,Post-IPO,12/21/2022,JMIA
2848,Wayfair,870.0,5%,Post-IPO,8/19/2022,W
2986,Rivian,840.0,6%,Post-IPO,7/27/2022,RIVN
2751,Twilio,800.0,11%,Post-IPO,9/14/2022,TWLO
1725,Xero,800.0,15%,Post-IPO,3/8/2023,XRX
969,Viasat,800.0,10%,Post-IPO,11/2/2023,VSAT
1971,Arrival,800.0,50%,Post-IPO,1/30/2023,ARVLF
2890,GoHealth,800.0,20%,Post-IPO,8/11/2022,GOCO
2875,Peloton,784.0,13%,Post-IPO,8/12/2022,PTON
1663,Electronic Arts,780.0,6%,Post-IPO,3/29/2023,EA
3273,Cazoo,750.0,15%,Post-IPO,6/7/2022,CZOOF
3274,Cazoo,750.0,15%,Post-IPO,9/8/2022,CZOOF
203,Wayfair,730.0,3%,Post-IPO,1/11/2025,W
3607,Intuit,715.0,7%,Post-IPO,6/22/2020,ISRG
2942,Robinhood,713.0,23%,Post-IPO,8/2/2022,HOOD
742,Salesforce,700.0,1%,Post-IPO,1/26/2024,CRM
2566,Lyft,700.0,13%,Post-IPO,11/3/2022,LYFT
2229,Amdocs,700.0,3%,Post-IPO,7/6/2023,DOX
1139,Zebra Technologies,700.0,7%,Post-IPO,8/28/2023,ZBRA
88,NetApp,700.0,6%,Post-IPO,5/3/2025,NTAP
1830,DocuSign,680.0,10%,Post-IPO,2/16/2023,DOCU
2718,DocuSign,671.0,9%,Post-IPO,9/28/2022,DOCU
645,Electronic Arts,670.0,5%,Post-IPO,2/28/2024,EA
270,Freshworks,660.0,13%,Post-IPO,11/7/2024,FRSH
345,Microsoft,650.0,,Post-IPO,9/12/2024,MSFT
1588,F5,623.0,9%,Post-IPO,4/20/2023,FFIV
589,Apple,614.0,,Post-IPO,4/4/2024,AAPL
2683,HelloFresh,611.0,,Post-IPO,10/15/2022,HFG.DE
2287,Playtika,600.0,15%,Post-IPO,12/10/2022,PLTK
3649,Uber,600.0,23%,Post-IPO,5/26/2020,UBER
1535,Unity,600.0,8%,Post-IPO,5/3/2023,U
2031,Spotify,600.0,6%,Post-IPO,1/23/2023,SPOT
572,Take-Two,579.0,5%,Post-IPO,4/16/2024,TTWO
1590,Opendoor,560.0,22%,Post-IPO,4/18/2023,OPEN
1027,Stitch Fix,558.0,,Post-IPO,10/15/2023,SFIX
2578,Opendoor,550.0,18%,Post-IPO,11/2/2022,OPEN
671,Toast,550.0,10%,Post-IPO,2/15/2024,TOST
974,Informatica,545.0,10%,Post-IPO,11/1/2023,INFA
1886,GoDaddy,530.0,8%,Post-IPO,2/8/2023,GDDY
285,Dropbox,527.0,20%,Post-IPO,10/30/2024,DBX
1957,Workday,525.0,3%,Post-IPO,1/31/2023,WDAY
2331,Doma,515.0,40%,Post-IPO,12/6/2022,0547.HK
1897,eBay,500.0,4%,Post-IPO,2/7/2023,EBAY
1887,Affirm,500.0,19%,Post-IPO,2/8/2023,AFRM
247,Ola Electric,500.0,,Post-IPO,11/24/2024,OLAELEC.BO
547,Tesla,500.0,,Post-IPO,5/1/2024,TSLA
244,SolarEdge,500.0,12%,Post-IPO,1/7/2025,SEDG
1677,Cimpress,500.0,,Post-IPO,4/11/2023,CMPR
1741,Atlassian,500.0,5%,Post-IPO,3/6/2023,TEAM
80,CrowdStrike,500.0,5%,Post-IPO,5/7/2025,CRWD
1972,Groupon,500.0,,Post-IPO,1/30/2023,GRPN
1958,HubSpot,500.0,7%,Post-IPO,1/31/2023,HUBS
263,Enphase Energy,500.0,17%,Post-IPO,11/11/2024,ENPH
1849,Blackbaud,500.0,14%,Post-IPO,2/15/2023,BLKB
2493,Illumina,500.0,5%,Post-IPO,11/16/2022,ILMN
2692,Peloton,500.0,12%,Post-IPO,10/6/2022,PTON
3308,TomTom,500.0,10%,Post-IPO,1/24/2023,OEMA.F
2907,Groupon,500.0,15%,Post-IPO,8/8/2022,GRPN
1556,Dropbox,500.0,16%,Post-IPO,4/27/2023,DBX
167,Sprinklr,500.0,15%,Post-IPO,2/8/2025,CXM
704,Snap,500.0,10%,Post-IPO,2/5/2024,SNAP
3897,Eventbrite,500.0,45%,Post-IPO,4/8/2020,EB
1664,Seagate,480.0,,Post-IPO,3/31/2023,STX
1742,SiriusXM,475.0,8%,Post-IPO,3/6/2023,SIRI
1193,Rapid7,470.0,18%,Post-IPO,8/8/2023,RPD
3601,GoDaddy,451.0,6%,Post-IPO,6/24/2020,GDDY
3235,Compass,450.0,10%,Post-IPO,6/14/2022,COMP
2167,Informatica,450.0,7%,Post-IPO,1/10/2023,INFA
470,Chegg,441.0,23%,Post-IPO,6/18/2024,CHGG
701,DocuSign,440.0,6%,Post-IPO,2/6/2024,DOCU
439,UIPath,420.0,10%,Post-IPO,7/9/2024,PATH
3123,Enjoy,400.0,18%,Post-IPO,6/30/2022,300020.SZ
212,SolarEdge,400.0,,Post-IPO,1/7/2025,SEDG
542,Peloton,400.0,15%,Post-IPO,5/2/2024,PTON
702,Amazon,400.0,,Post-IPO,2/7/2024,AMZN
460,Ginkgo Bioworks,400.0,35%,Post-IPO,6/23/2024,DNA
431,SolarEdge,400.0,,Post-IPO,7/16/2024,SEDG
1295,Stitch Fix,400.0,,Post-IPO,7/14/2023,SFIX
718,Okta,400.0,7%,Post-IPO,2/1/2024,OKTA
3325,SWVL,400.0,32%,Post-IPO,5/30/2022,SWVL
3022,Just Eat Takeaway,390.0,,Post-IPO,7/20/2022,T5WA.F
2201,Cue,388.0,,Post-IPO,1/6/2023,CUE
465,Wex,375.0,5%,Post-IPO,6/23/2024,WEX
1835,Wix,370.0,6%,Post-IPO,2/15/2023,WIX
1959,Upstart,365.0,20%,Post-IPO,1/31/2023,UPST
1111,Roku,360.0,10%,Post-IPO,9/6/2023,ROKU
1355,Selina,350.0,,Post-IPO,7/6/2023,SLNAF
739,iRobot,350.0,31%,Post-IPO,1/29/2024,IRBT
3638,MakeMyTrip,350.0,10%,Post-IPO,6/3/2020,MMYT
651,Bumble,350.0,30%,Post-IPO,2/27/2024,BMBL
3428,Sea,350.0,,Post-IPO,3/30/2022,SEA
856,Enphase Energy,350.0,10%,Post-IPO,12/19/2023,ENPH
3545,MakeMyTrip,350.0,10%,Post-IPO,9/2/2020,MMYT
1084,Cisco,350.0,,Post-IPO,9/20/2023,CSCO
389,Grail,350.0,,Post-IPO,8/19/2024,GRAL
1973,Intel,343.0,,Post-IPO,1/30/2023,INTC
3402,Robinhood,340.0,9%,Post-IPO,4/26/2022,HOOD
128,Wayfair ,340.0,,Post-IPO,3/7/2025,W
2168,Blend,340.0,28%,Post-IPO,1/10/2023,BLND
2909,Vroom,337.0,,Post-IPO,8/9/2022,VRME
806,IAC,330.0,,Post-IPO,1/13/2024,IAC
3257,Stitch Fix,330.0,15%,Post-IPO,6/9/2022,SFIX
79,Match Group,325.0,13%,Post-IPO,5/9/2025,MTCH
1690,Marvell,320.0,4%,Post-IPO,3/21/2023,MRVL
258,Chegg,319.0,21%,Post-IPO,11/13/2024,CHGG
3502,Dropbox,315.0,15%,Post-IPO,1/13/2021,DBX
2185,Fate Therapeutics,315.0,57%,Post-IPO,1/12/2023,FATE
850,Intel,311.0,,Post-IPO,12/19/2023,INTC
3378,Doma,310.0,15%,Post-IPO,5/12/2022,0547.HK
61,Microsoft,305.0,3%,Post-IPO,6/5/2025,MSFT
3462,Delivery Hero,300.0,,Post-IPO,12/30/2021,DHER.DE
1333,Zip,300.0,20%,Post-IPO,7/4/2023,ZIP
2618,Zillow,300.0,5%,Post-IPO,10/26/2022,Z
793,Playtika,300.0,10%,Post-IPO,1/11/2024,PLTK
89,Electronic Arts,300.0,,Post-IPO,5/3/2025,EA
46,TomTom,300.0,10%,Post-IPO,7/7/2025,OEMA.F
2099,Lightspeed Commerce,300.0,10%,Post-IPO,1/17/2023,LSPD.TO
432,Salesforce,300.0,,Post-IPO,7/15/2024,CRM
2077,Teladoc Health,300.0,6%,Post-IPO,1/18/2023,TDOC
3161,AppLovin,300.0,12%,Post-IPO,6/27/2022,APP
3175,Netflix,300.0,3%,Post-IPO,6/23/2022,NFLX
1683,Logitech,300.0,,Post-IPO,3/23/2023,LOGI
1921,Okta,300.0,5%,Post-IPO,2/2/2023,OKTA
272,Opendoor,300.0,17%,Post-IPO,11/7/2024,OPEN
1825,Tencent,300.0,,Post-IPO,2/17/2023,0700.HK
164,Wise,300.0,,Post-IPO,2/25/2025,WISE
1614,Viasat,300.0,4%,Post-IPO,4/25/2023,VSAT
1514,Akamai,290.0,3%,Post-IPO,5/10/2023,AKAM
2100,Unity,284.0,3%,Post-IPO,1/17/2023,U
347,Udemy,280.0,,Post-IPO,9/17/2024,UDMY
591,Lightspeed Commerce,280.0,,Post-IPO,4/3/2024,LSPD.TO
693,Pure Storage,275.0,,Post-IPO,2/8/2024,PSTG
2078,Vroom,275.0,20%,Post-IPO,1/19/2023,VRME
122,HelloFresh,273.0,,Post-IPO,3/17/2025,HFG.DE
2734,Compass,271.0,,Post-IPO,9/20/2022,COMP
1524,Twist Bioscience,270.0,25%,Post-IPO,5/5/2023,TWST
3382,Vroom,270.0,14%,Post-IPO,5/9/2022,VRME
1452,ZipRecruiter,270.0,20%,Post-IPO,5/31/2023,ZIP
2892,Nutanix,270.0,4%,Post-IPO,8/9/2022,NTNX
1385,Nikola,270.0,,Post-IPO,6/17/2023,NKLAQ
911,Unity,265.0,4%,Post-IPO,11/29/2023,U
1242,Wish,255.0,34%,Post-IPO,8/1/2023,8JR.F
2423,Western Digital,251.0,,Post-IPO,2/13/2023,WDC
2920,Doma,250.0,13%,Post-IPO,8/5/2022,0547.HK
1922,Autodesk,250.0,2%,Post-IPO,2/3/2023,ADSK
273,Akamai,250.0,2%,Post-IPO,11/7/2024,AKAM
3268,Sonder,250.0,21%,Post-IPO,6/8/2022,SOND
3319,Playtika,250.0,6%,Post-IPO,5/31/2022,PLTK
664,Aptiv,250.0,,Post-IPO,2/20/2024,APTV
78,Chegg,248.0,22%,Post-IPO,5/12/2025,CHGG
2225,Pegasystems,245.0,4%,Post-IPO,1/4/2023,PEGA
2473,UiPath,241.0,6%,Post-IPO,11/16/2022,PATH
1127,Pegasystems,240.0,4%,Post-IPO,8/31/2023,PEGA
48,Bumble,240.0,30%,Post-IPO,6/25/2025,BMBL
3860,The RealReal,235.0,10%,Post-IPO,4/14/2020,REAL
1832,The RealReal,230.0,7%,Post-IPO,2/16/2023,REAL
3617,Uber,225.0,25%,Post-IPO,6/27/2020,UBER
873,Etsy,225.0,11%,Post-IPO,12/13/2023,ETSY
2000,Confluent,221.0,8%,Post-IPO,1/26/2023,CFLT
3,Cisco,221.0,,Post-IPO,8/23/2025,CSCO
2870,Blend,220.0,12%,Post-IPO,8/16/2022,BLND
3643,TrueCar,219.0,30%,Post-IPO,5/28/2020,TRUE
1401,Western Digital,211.0,,Post-IPO,10/20/2023,WDC
3162,UiPath,210.0,5%,Post-IPO,6/27/2022,PATH
2332,Intel,201.0,,Post-IPO,12/30/2022,INTC
2202,SoundHound,200.0,50%,Post-IPO,1/5/2023,SOUN
264,23andMe,200.0,40%,Post-IPO,11/11/2024,MEHCQ
1960,Software AG,200.0,4%,Post-IPO,2/4/2023,TBX0.F
64,eBay,200.0,,Post-IPO,6/1/2025,EBAY
1435,Spotify,200.0,2%,Post-IPO,6/5/2023,SPOT
171,Sonos,200.0,12%,Post-IPO,2/5/2025,SONO
2663,Beyond Meat,200.0,19%,Post-IPO,11/6/2023,BYND
